Learning Rate	Train Loss	
0.001000	0.544926	
0.001000	0.284953	
0.001000	0.250588	
0.001000	0.247313	
0.001000	0.225957	
0.001000	0.221380	
0.001000	0.164009	
0.001000	0.130148	
0.001000	0.104869	
0.001000	0.091521	
0.000100	0.113580	
0.000100	0.081592	
0.000100	0.081574	
0.000100	0.087159	
0.000100	0.089251	
0.000100	0.089272	
0.000100	0.065273	
0.000100	0.075419	
0.000100	0.071090	
0.000100	0.052991	
0.000010	0.066751	
0.000010	0.060862	
0.000010	0.057823	
0.000010	0.054634	
0.000010	0.069715	
0.000010	0.059515	
0.000010	0.061487	
0.000010	0.061768	
0.000010	0.058396	
0.000010	0.053611	
