Learning Rate	Train Loss	
0.001000	1.217985	
0.001000	0.591000	
0.001000	0.427768	
0.001000	0.395197	
0.001000	0.345025	
0.001000	0.281147	
0.001000	0.279853	
0.001000	0.251871	
0.001000	0.289684	
0.001000	0.214658	
0.000100	0.194069	
0.000100	0.173432	
0.000100	0.165299	
0.000100	0.136656	
0.000100	0.151411	
0.000100	0.128358	
0.000100	0.098603	
0.000100	0.104628	
0.000100	0.117707	
0.000100	0.108993	
0.000010	0.118340	
0.000010	0.101802	
0.000010	0.088670	
0.000010	0.110933	
0.000010	0.107669	
0.000010	0.105890	
0.000010	0.099741	
0.000010	0.108838	
0.000010	0.082007	
0.000010	0.088035	
