Learning Rate	Train Loss	
0.001000	1.231082	
0.001000	0.612800	
0.001000	0.421805	
0.001000	0.365740	
0.001000	0.327476	
0.001000	0.245399	
0.001000	0.246642	
0.001000	0.264897	
0.001000	0.214011	
0.001000	0.213964	
0.000100	0.198414	
0.000100	0.173671	
0.000100	0.137700	
0.000100	0.150717	
0.000100	0.127160	
0.000100	0.116445	
0.000100	0.117840	
0.000100	0.089495	
0.000100	0.100497	
0.000100	0.090494	
0.000010	0.091752	
0.000010	0.098829	
0.000010	0.097808	
0.000010	0.105660	
0.000010	0.106596	
0.000010	0.090614	
0.000010	0.091096	
0.000010	0.094215	
0.000010	0.091882	
0.000010	0.086310	
