Learning Rate	Train Loss	
0.001000	0.314930	
0.001000	0.181957	
0.001000	0.143762	
0.001000	0.104602	
0.001000	0.084226	
0.001000	0.079141	
0.001000	0.070603	
0.001000	0.065778	
0.001000	0.053828	
0.001000	0.061179	
0.000100	0.055890	
0.000100	0.048343	
0.000100	0.039653	
0.000100	0.039165	
0.000100	0.047225	
0.000100	0.037035	
0.000100	0.040943	
0.000100	0.032884	
0.000100	0.029978	
0.000100	0.034716	
0.000010	0.034682	
0.000010	0.038078	
0.000010	0.042221	
0.000010	0.031790	
0.000010	0.029309	
0.000010	0.036080	
0.000010	0.033663	
0.000010	0.031690	
0.000010	0.028437	
0.000010	0.031692	
