Learning Rate	Train Loss	
0.001000	1.188166	
0.001000	0.585242	
0.001000	0.438836	
0.001000	0.379877	
0.001000	0.297927	
0.001000	0.355608	
0.001000	0.310966	
0.001000	0.239687	
0.001000	0.302195	
0.001000	0.226957	
0.000100	0.210226	
0.000100	0.186124	
0.000100	0.145758	
0.000100	0.166698	
0.000100	0.141127	
0.000100	0.121733	
0.000100	0.136856	
0.000100	0.127245	
0.000100	0.117808	
0.000100	0.131535	
0.000010	0.103767	
0.000010	0.109353	
0.000010	0.113424	
0.000010	0.119571	
0.000010	0.112497	
0.000010	0.129232	
0.000010	0.104187	
0.000010	0.098929	
0.000010	0.112866	
0.000010	0.091400	
