Learning Rate	Train Loss	
0.001000	1.309588	
0.001000	0.872480	
0.001000	0.519653	
0.001000	0.395415	
0.001000	0.378101	
0.001000	0.303322	
0.001000	0.310056	
0.001000	0.282177	
0.001000	0.264897	
0.001000	0.267342	
0.000100	0.214873	
0.000100	0.184778	
0.000100	0.183917	
0.000100	0.172356	
0.000100	0.170970	
0.000100	0.133643	
0.000100	0.145192	
0.000100	0.140629	
0.000100	0.122759	
0.000100	0.113203	
0.000010	0.126461	
0.000010	0.136371	
0.000010	0.131581	
0.000010	0.114682	
0.000010	0.111317	
0.000010	0.104416	
0.000010	0.115083	
0.000010	0.101285	
0.000010	0.106330	
0.000010	0.122976	
0.000001	0.111538	
0.000001	0.129036	
0.000001	0.124068	
0.000001	0.116954	
0.000001	0.119282	
