Learning Rate	Train Loss	
0.001000	1.265627	
0.001000	0.814950	
0.001000	0.457727	
0.001000	0.415000	
0.001000	0.434387	
0.001000	0.335461	
0.001000	0.318549	
0.001000	0.262231	
0.001000	0.244915	
0.001000	0.233562	
0.000100	0.204376	
0.000100	0.167760	
0.000100	0.175160	
0.000100	0.153409	
0.000100	0.154475	
0.000100	0.161902	
0.000100	0.128665	
0.000100	0.115217	
0.000100	0.129418	
0.000100	0.124721	
0.000010	0.123516	
0.000010	0.110250	
0.000010	0.100739	
0.000010	0.097940	
0.000010	0.121870	
0.000010	0.115898	
0.000010	0.102606	
0.000010	0.109428	
0.000010	0.110394	
0.000010	0.107031	
0.000001	0.096863	
0.000001	0.107015	
0.000001	0.107342	
0.000001	0.095090	
0.000001	0.132615	
0.000001	0.106267	
0.000001	0.101147	
0.000001	0.098272	
0.000001	0.108869	
0.000001	0.099657	
