Learning Rate	Train Loss	
0.001000	1.845000	
0.001000	0.908003	
0.001000	0.604500	
0.001000	0.518160	
0.001000	0.510518	
0.001000	0.450821	
0.001000	0.498420	
0.001000	0.502284	
0.001000	0.455039	
0.001000	0.413467	
0.000100	0.366044	
0.000100	0.316949	
0.000100	0.308825	
0.000100	0.317802	
0.000100	0.295386	
0.000100	0.282890	
0.000100	0.271474	
0.000100	0.282350	
0.000100	0.271531	
0.000100	0.272201	
0.000010	0.258663	
0.000010	0.277235	
0.000010	0.253941	
0.000010	0.250135	
0.000010	0.236731	
0.000010	0.259820	
0.000010	0.236683	
0.000010	0.253017	
0.000010	0.247434	
0.000010	0.232696	
0.000010	0.255487	
0.000010	0.246536	
0.000010	0.235057	
0.000010	0.227243	
0.000010	0.239313	
