Learning Rate	Train Loss	
0.001000	1.880991	
0.001000	0.946669	
0.001000	0.623351	
0.001000	0.535142	
0.001000	0.502087	
0.001000	0.481846	
0.001000	0.484102	
0.001000	0.458201	
0.001000	0.396629	
0.001000	0.357693	
0.000100	0.351800	
0.000100	0.310284	
0.000100	0.325526	
0.000100	0.292213	
0.000100	0.284746	
0.000100	0.292991	
0.000100	0.272804	
0.000100	0.260969	
0.000100	0.280171	
0.000100	0.260953	
0.000010	0.238397	
0.000010	0.260232	
0.000010	0.247644	
0.000010	0.249366	
0.000010	0.250035	
0.000010	0.246888	
0.000010	0.278232	
0.000010	0.264556	
0.000010	0.246150	
0.000010	0.236769	
