Learning Rate	Train Loss	
0.001000	1.169283	
0.001000	0.457817	
0.001000	0.388317	
0.001000	0.321728	
0.001000	0.334756	
0.001000	0.273378	
0.001000	0.240120	
0.001000	0.201426	
0.001000	0.193791	
0.001000	0.173431	
0.000100	0.143886	
0.000100	0.151696	
0.000100	0.142593	
0.000100	0.135046	
0.000100	0.127845	
0.000100	0.116485	
0.000100	0.125094	
0.000100	0.112508	
0.000100	0.109000	
0.000100	0.113585	
0.000010	0.122406	
0.000010	0.117500	
0.000010	0.105092	
0.000010	0.120547	
0.000010	0.110707	
0.000010	0.114390	
0.000010	0.109515	
0.000010	0.114470	
0.000010	0.106503	
0.000010	0.117200	
