Learning Rate	Train Loss	
0.001000	1.992672	
0.001000	1.574462	
0.001000	1.094219	
0.001000	0.772583	
0.001000	0.616320	
0.001000	0.563344	
0.001000	0.499591	
0.001000	0.507691	
0.001000	0.497022	
0.001000	0.455348	
0.001000	0.447199	
0.001000	0.416287	
0.001000	0.392137	
0.001000	0.372808	
0.001000	0.345418	
0.000100	0.352438	
0.000100	0.330437	
0.000100	0.317598	
0.000100	0.312938	
0.000100	0.309853	
0.000100	0.310800	
0.000100	0.297569	
0.000100	0.313309	
0.000100	0.294067	
0.000100	0.301249	
0.000010	0.284118	
0.000010	0.291197	
0.000010	0.286575	
0.000010	0.292391	
0.000010	0.297980	
0.000010	0.301465	
0.000010	0.275393	
0.000010	0.275703	
0.000010	0.268453	
0.000010	0.288414	
