Learning Rate	Train Loss	
0.001000	1.987177	
0.001000	1.379477	
0.001000	0.828408	
0.001000	0.603160	
0.001000	0.547273	
0.001000	0.503528	
0.001000	0.483681	
0.001000	0.472823	
0.001000	0.415949	
0.001000	0.362066	
0.001000	0.376475	
0.001000	0.346995	
0.001000	0.350237	
0.001000	0.327072	
0.001000	0.335934	
0.001000	0.282849	
0.001000	0.291714	
0.001000	0.296231	
0.001000	0.273910	
0.001000	0.258781	
0.000100	0.229689	
0.000100	0.240671	
0.000100	0.264901	
0.000100	0.232417	
0.000100	0.246327	
0.000100	0.224298	
0.000100	0.227271	
0.000100	0.228913	
0.000100	0.233990	
0.000100	0.218959	
0.000100	0.217532	
0.000100	0.217803	
0.000100	0.208965	
0.000100	0.212757	
0.000100	0.214876	
0.000010	0.213534	
0.000010	0.211022	
0.000010	0.210421	
0.000010	0.216239	
0.000010	0.210377	
