Learning Rate	Train Loss	
0.001000	1.926875	
0.001000	1.303758	
0.001000	0.843258	
0.001000	0.629139	
0.001000	0.562232	
0.001000	0.446680	
0.001000	0.438393	
0.001000	0.420901	
0.001000	0.406286	
0.001000	0.356920	
0.001000	0.358713	
0.001000	0.321091	
0.001000	0.326468	
0.001000	0.313313	
0.001000	0.303653	
0.000100	0.303705	
0.000100	0.276506	
0.000100	0.261120	
0.000100	0.279433	
0.000100	0.261662	
0.000100	0.251313	
0.000100	0.252795	
0.000100	0.243909	
0.000100	0.220155	
0.000100	0.237336	
0.000100	0.231047	
0.000100	0.222517	
0.000100	0.230226	
0.000100	0.221041	
0.000100	0.219094	
0.000010	0.203466	
0.000010	0.223669	
0.000010	0.225376	
0.000010	0.227858	
0.000010	0.225807	
0.000010	0.227540	
0.000010	0.225769	
0.000010	0.217595	
0.000010	0.208905	
0.000010	0.213351	
