Learning Rate	Train Loss	
0.001000	1.673570	
0.001000	0.877373	
0.001000	0.613392	
0.001000	0.497704	
0.001000	0.439159	
0.001000	0.410458	
0.001000	0.390960	
0.001000	0.356033	
0.001000	0.335905	
0.001000	0.293947	
0.000100	0.314542	
0.000100	0.293210	
0.000100	0.312798	
0.000100	0.302435	
0.000100	0.294471	
0.000100	0.302422	
0.000100	0.295841	
0.000100	0.282361	
0.000100	0.275715	
0.000100	0.298197	
0.000010	0.285158	
0.000010	0.291140	
0.000010	0.300858	
0.000010	0.287010	
0.000010	0.277649	
0.000010	0.289107	
