Learning Rate	Train Loss	
0.001000	1.662574	
0.001000	0.784129	
0.001000	0.580471	
0.001000	0.514228	
0.001000	0.487637	
0.001000	0.433964	
0.001000	0.402424	
0.001000	0.427991	
0.001000	0.363490	
0.001000	0.353411	
0.000100	0.296443	
0.000100	0.267530	
0.000100	0.267776	
0.000100	0.268192	
0.000100	0.252763	
0.000100	0.227140	
0.000100	0.237293	
0.000100	0.231234	
0.000100	0.233366	
0.000100	0.225281	
0.000010	0.205172	
0.000010	0.230344	
0.000010	0.221827	
0.000010	0.224195	
0.000010	0.221608	
0.000010	0.212061	
0.000010	0.230569	
0.000010	0.219977	
0.000010	0.216269	
0.000010	0.222655	
