Learning Rate	Train Loss	
0.001000	1.730152	
0.001000	0.858287	
0.001000	0.593899	
0.001000	0.478597	
0.001000	0.459131	
0.001000	0.416903	
0.001000	0.405788	
0.001000	0.450787	
0.001000	0.474567	
0.001000	0.416743	
0.000100	0.351106	
0.000100	0.310504	
0.000100	0.309458	
0.000100	0.299267	
0.000100	0.270207	
0.000100	0.279675	
0.000100	0.263953	
0.000100	0.259228	
0.000100	0.236273	
0.000100	0.240926	
0.000010	0.228675	
0.000010	0.249887	
0.000010	0.234201	
0.000010	0.240438	
0.000010	0.221936	
0.000010	0.243922	
0.000010	0.236546	
0.000010	0.250991	
0.000010	0.240740	
0.000010	0.241350	
